id,type,question,correctAnswer,title,description,address,lat,lng,osGrid,w3w
12,text,Blue Plaque No the swan,17,Location M,High st,"The Lounge by Graze Life, 154-156, High Street, Ashlyns Estate, HP4 3AT",51.759905,-0.56335,SP 99251 07778,///covertly.fast.spilling
13,text,The Kings arm what century blue plaque,18th,Location N,High st,"Black Goo, 134, High Street, Ashlyns Estate, HP4 3AT",51.759635,-0.562565,SP 99306 07749,///unspoiled.push.brew
14,text,parking Meeter number (White Pen marker),8,Location O,High st,"Hanako Flowers, 140, High Street, Ashlyns Estate, HP4 3AT",51.759878,-0.562914,SP 99281 07776,///shatters.stone.soap
15,text,3 Digit yellow number on lamp post,568,Location P,Civice center,"Tabure, 157-159, High Street, Ashlyns Estate, HP4 3HB",51.760174,-0.564004,SP 99205 07807,///since.beep.reject
16,text,what day  of the week in april was the jazz,Saturday,Location Q,Civice center,"Tabure, 157-159, High Street, Ashlyns Estate, HP4 3HB",51.760174,-0.564004,SP 99205 07807,///since.beep.reject
17,text,how many windows on the Civic Centre,13,Location R,Waterstone`s,"172-176, High Street, Ashlyns Estate, HP4 3HE",51.760255,-0.563786,SP 99220 07817,///softly.spill.pickup
18,text,The Red and White Alarm Name,Kings,Location S,High st,"Berkhamsted Police Station, High Street, Ashlyns Estate, HP4 3HE",51.76012,-0.564047,SP 99202 07801,///tarnished.lorry.sedated
19,text,what is the black elliptical plate number next to the door on bells,163,Location T,Ciente,"Lussmans Berkhamsted, 163-165, High Street, Ashlyns Estate, HP4 3HB",51.760201,-0.564222,SP 99190 07810,///shrimps.commended.presenter
20,text,what is the max stay hours for parking,1,Location U,Sterling Esata agents,"Town Hall, High Street, Ashlyns Estate, HP4 3HE",51.760363,-0.564614,SP 99163 07827,///bulbs.owners.voices
21,text,Residential sales & ??,lettings,Location V,Town hall,"Berkhamsted Town Hall, High Street, Ashlyns Estate, HP4 3AP",51.760578,-0.564832,SP 99147 07851,///campus.conga.dice
22,text,date on the date on the stone shield,1859,Location W,Betfred Parking meeter,"Town Hall, High Street, Ashlyns Estate, HP4 3HE",51.760363,-0.564614,SP 99163 07827,///bulbs.owners.voices
23,text,on the back of the metre the number below Wawoo ,6,Location X,HSBC,"Prime, 196, High Street, Ashlyns Estate, HP4 3BA",51.760498,-0.564919,SP 99141 07842,///remission.couriers.words
24,text,What is the number on the green box outside,15,Location Y,vinegar hill,"Per Tutti, 222, High Street, Ashlyns Estate, HP4 1AG",51.760821,-0.565747,SP 99083 07877,///village.defensive.crusted
25,text,? cowper's school,william,Location Z,Per Tutti,"Per Tutti, 222, High Street, Ashlyns Estate, HP4 1AG",51.760902,-0.566009,SP 99065 07886,///question.existence.fear
26,text,what colour are the gutters,white,Location AA,old nat west building,"Kings Road, High Street, Ashlyns Estate, HP4 1FD",51.760848,-0.566226,SP 99050 07879,///unwraps.cuts.rebounded
27,text,what is the Number on the lap post,601,Location AB,Simmons,"Per Tutti, 222, High Street, Ashlyns Estate, HP4 1AG",51.760902,-0.566009,SP 99065 07886,///question.existence.fear
28,text,what type of vicals can park out side  here mon-fri for loading,goods,Location AC,Dickman,"Caffè Nero, 230, High Street, Ashlyns Estate, HP4 1BP",51.760983,-0.56627,SP 99047 07894,///mankind.spinners.finely
29,text,house name above the door,Linden House,Location AD,High st,"Coral, High Street, Ashlyns Estate, HP4 1FD",51.761225,-0.567447,SP 98965 07920,///eyeliner.harmlessly.pounds
30,text,what shop is between Epicure and flooring,her,Location AE,Rober martell & parners,"Kings Road, High Street, Ashlyns Estate, HP4 1FD",51.761333,-0.567316,SP 98974 07932,///tablets.police.slung
31,text,what's the name of their alarm company,ADT,Location AF,The Almshouses,"235, High Street, Ashlyns Estate, HP4 1AB",51.761414,-0.567752,SP 98944 07940,///dumpy.triads.megawatt
32,text,when were thay built,1684,Location AG,Camilla Terrace,"Camilla House, 251, High Street, Ashlyns Estate, HP4 1AB",51.761629,-0.568362,SP 98901 07963,///tweeted.bleat.dignify
33,text,what colour is the door of 255,yellow,Location AH,Kwik-fit,"Malcolm Jones and & Metcalfe, High Street, Ashlyns Estate, HP4 1FD",51.76171,-0.568406,SP 98898 07972,///slam.surfacing.crank
34,text,The phone pole serial number on aluminium plate,CBZHZCZU,Location AI,Giggling Squid,"Giggling Squid, 296-298, High Street, Ashlyns Estate, HP4 1AH",51.761953,-0.569059,SP 98852 07998,///bids.swerving.logo
35,text,The ??? house,monks,Location AJ,M & S,"M&S Foodhall, 300, High Street, Ashlyns Estate, HP4 1ZZ",51.762061,-0.569321,SP 98834 08010,///anthems.harmony.passwords
36,text,E R when was it built,1958,Location AK,Pizza Express,"PizzaExpress, 300, High Street, Ashlyns Estate, HP4 1ZZ",51.762276,-0.5698,SP 98800 08033,///fruits.cheeses.keen
37,text,street number,300,Location AL,Harrowell & Atkins,"The George, 261, High Street, Ashlyns Estate, HP4 1AB",51.761791,-0.568842,SP 98868 07981,///ramming.bank.stealthier
38,text,Betty ???,james,Location AM,The Lamb,"Giggling Squid, 296-298, High Street, Ashlyns Estate, HP4 1AH",51.761872,-0.569147,SP 98846 07989,///cosmic.invisible.rush
39,text,whats free,wifi,Location AN,Menspire,"Purple Menswear, High Street, Ashlyns Estate, HP4 1BW",51.762249,-0.57028,SP 98767 08030,///abstracts.scouting.ranches
40,text,what is the Number on the lap post,632,Location A,Cream cloure building,"High Street, Ashlyns Estate, HP4 2BP",51.75818,-0.557858,SP 99634 07594,///parties.deriving.paraded
